"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 27 14:12:32 ICT 2024","Tue Feb 27 14:12:33 ICT 2024","367","","Files","","","","cy.readFile() - read file contents",""
"passed","Tue Feb 27 14:13:19 ICT 2024","Tue Feb 27 14:13:21 ICT 2024","2237","","Network Requests","","","","cy.intercept() - route responses to matching requests",""
"passed","Tue Feb 27 14:13:46 ICT 2024","Tue Feb 27 14:13:46 ICT 2024","526","","Spies, Stubs, and Clock","","","","cy.tick() - move time in the browser",""
"passed","Tue Feb 27 14:14:58 ICT 2024","Tue Feb 27 14:14:59 ICT 2024","1018","","Window","","","","cy.window() - get the global window object",""
"passed","Tue Feb 27 14:14:09 ICT 2024","Tue Feb 27 14:14:09 ICT 2024","380","","Traversal","","","",".prev() - get previous sibling DOM element",""
"passed","Tue Feb 27 14:11:07 ICT 2024","Tue Feb 27 14:11:13 ICT 2024","5739","","Actions","","","",".type() - type into a DOM element",""
"passed","Tue Feb 27 14:13:31 ICT 2024","Tue Feb 27 14:13:33 ICT 2024","1149","","Querying","","","","best practices - selecting elements",""
"passed","Tue Feb 27 14:12:02 ICT 2024","Tue Feb 27 14:12:02 ICT 2024","336","Connectors",".then()","","","","yields the value yielded by the last Cypress command inside",""
"passed","Tue Feb 27 14:11:47 ICT 2024","Tue Feb 27 14:11:47 ICT 2024","400","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Tue Feb 27 14:11:36 ICT 2024","Tue Feb 27 14:11:38 ICT 2024","1836","","Aliasing","","","",".as() - alias a route for later use",""
"passed","Tue Feb 27 14:11:13 ICT 2024","Tue Feb 27 14:11:13 ICT 2024","515","","Actions","","","",".focus() - focus on a DOM element",""
"passed","Tue Feb 27 14:10:39 ICT 2024","Tue Feb 27 14:10:39 ICT 2024","519","example to-do app","with a checked task","","","","can delete all completed tasks",""
"passed","Tue Feb 27 14:11:47 ICT 2024","Tue Feb 27 14:11:48 ICT 2024","424","Assertions","Explicit Assertions","","","","can throw any error",""
"passed","Tue Feb 27 14:13:41 ICT 2024","Tue Feb 27 14:13:42 ICT 2024","1050","","Spies, Stubs, and Clock","","","","cy.spy() - wrap a method in a spy",""
"passed","Tue Feb 27 14:12:39 ICT 2024","Tue Feb 27 14:12:40 ICT 2024","1136","","Location","","","","cy.hash() - get the current URL hash",""
"passed","Tue Feb 27 14:13:02 ICT 2024","Tue Feb 27 14:13:04 ICT 2024","1534","","Navigation","","","","cy.reload() - reload the page",""
"passed","Tue Feb 27 14:14:09 ICT 2024","Tue Feb 27 14:14:09 ICT 2024","337","","Traversal","","","",".prevAll() - get all previous sibling DOM elements",""
"passed","Tue Feb 27 14:13:16 ICT 2024","Tue Feb 27 14:13:17 ICT 2024","1192","","Network Requests","","","","cy.request() - pass result to the second request",""
"passed","Tue Feb 27 14:11:44 ICT 2024","Tue Feb 27 14:11:46 ICT 2024","1622","Assertions","Implicit Assertions","","","",".should() - make an assertion about the current subject",""
